Source,Type,Target,Weight
gudenå,undirected,nairobis,1
gudenå,undirected,kualalumpur,1
jordanflod,undirected,kuala lumpur,1
golgata,undirected,kuala lumpur,1
kors,undirected,kuala lumpur,1
kuala lumpur,undirected,nairobis,1
kuala lumpur,undirected,kualalumpur,1
golgata,undirected,jordanflod,7
jordanflod,undirected,kors,5
jordanflod,undirected,nairobis,1
jordanflod,undirected,kualalumpur,1
golgata,undirected,kors,22
golgata,undirected,nairobis,1
golgata,undirected,kualalumpur,1
kors,undirected,nairobis,1
kors,undirected,kualalumpur,1
kualalumpur,undirected,nairobis,1
christiania,undirected,jerusalem,2
jerusalem,undirected,københavn,72
jerusalem,undirected,magasin,1
christiania,undirected,jord,2
christiania,undirected,københavn,2
christiania,undirected,magasin,1
jord,undirected,københavn,66
jord,undirected,magasin,1
københavn,undirected,magasin,1
jerusalem,undirected,markusevangeli,6
betlehem,undirected,mellemøst,18
golgata,undirected,mellemøst,5
mellemøst,undirected,rig,4
det kolde nord,undirected,mellemøst,1
betlehem,undirected,golgata,19
betlehem,undirected,rig,6
betlehem,undirected,det kolde nord,1
golgata,undirected,rig,3
det kolde nord,undirected,golgata,3
det kolde nord,undirected,rig,1
thorvalds,undirected,trinitatis,1
kirkeår,undirected,trinitatis,8
danmark,undirected,trinitatis,17
københavns domkirk,undirected,trinitatis,1
det kirkeår,undirected,trinitatis,1
kirkeår,undirected,thorvalds,1
danmark,undirected,thorvalds,2
københavns domkirk,undirected,thorvalds,1
det kirkeår,undirected,thorvalds,1
danmark,undirected,kirkeår,19
kirkeår,undirected,københavns domkirk,3
det kirkeår,undirected,kirkeår,1
danmark,undirected,københavns domkirk,6
danmark,undirected,det kirkeår,1
det kirkeår,undirected,københavns domkirk,1
jord,undirected,mathæusevangeli,5
danmark,undirected,mathæusevangeli,2
mathæusevangeli,undirected,roskild,1
kastel,undirected,mathæusevangeli,1
mathæusevangeli,undirected,rig,1
jord,undirected,roskild,6
jord,undirected,kastel,1
jord,undirected,rig,29
danmark,undirected,roskild,4
danmark,undirected,kastel,1
danmark,undirected,rig,15
kastel,undirected,roskild,1
rig,undirected,roskild,2
kastel,undirected,rig,1
galilæas sø,undirected,pins,1
galilæas sø,undirected,verd,1
pins,undirected,verd,2
gudsr,undirected,vestkystløb,2
galilæa,undirected,jerusalem,106
jerusalem,undirected,tyrus,3
jerusalem,undirected,judæas højslet,1
jerusalem,undirected,jordans bred,1
galilæa,undirected,tyrus,5
galilæa,undirected,judæas højslet,1
galilæa,undirected,jordans bred,1
judæas højslet,undirected,tyrus,1
jordans bred,undirected,tyrus,1
jordans bred,undirected,judæas højslet,1
betlehem,undirected,nazareth,59
jord,undirected,nazareth,97
kors,undirected,nazareth,16
israel,undirected,nazareth,67
betlehem,undirected,kors,22
jord,undirected,kors,66
israel,undirected,kors,29
betlehem,undirected,hund,1
betlehem,undirected,kildebrønde  sender vi,1
hund,undirected,kildebrønde  sender vi,1
betlehem,undirected,wittenberg,1
betlehem,undirected,kirk,3
jord,undirected,wittenberg,6
kirk,undirected,wittenberg,1
jord,undirected,kirk,11
ledøjesmørum sogn,undirected,usa,1
danmark,undirected,usa,62
det store hav,undirected,usa,3
ledøje kirk,undirected,usa,1
danmark,undirected,ledøjesmørum sogn,1
det store hav,undirected,ledøjesmørum sogn,1
ledøje kirk,undirected,ledøjesmørum sogn,1
danmark,undirected,det store hav,3
danmark,undirected,ledøje kirk,2
det store hav,undirected,ledøje kirk,1
himmer,undirected,lazarus,7
jord,undirected,lazarus,13
eva,undirected,paradisets hav,2
paradisets hav,undirected,ørken,2
eva,undirected,ørken,1
kana,undirected,nazareth,8
johannesevangeli,undirected,langfredag,1
daglej,undirected,johannesevangeli,1
daglej,undirected,langfredag,1
israel,undirected,israels hus,10
danmark,undirected,israels hus,4
israels hus,undirected,kanaan,1
israel,undirected,kanaan,6
danmark,undirected,kanaan,4
danmark,undirected,mindelund,1
danmark,undirected,hellerup,2
hellerup,undirected,mindelund,3
genesaret sø,undirected,valby,1
danmark,undirected,genesaret sø,8
genesaret sø,undirected,oldkirk,1
genesaret sø,undirected,kroati,1
danmark,undirected,valby,1
oldkirk,undirected,valby,1
kroati,undirected,valby,1
danmark,undirected,oldkirk,3
danmark,undirected,kroati,1
kroati,undirected,oldkirk,1
syri,undirected,usa,19
hjørring,undirected,usa,1
jord,undirected,usa,65
brønderslevsag,undirected,usa,1
hjørring,undirected,syri,2
jord,undirected,syri,66
brønderslevsag,undirected,syri,1
hjørring,undirected,jord,3
brønderslevsag,undirected,hjørring,1
brønderslevsag,undirected,jord,1
balkan,undirected,denne verd,1
balkan,undirected,kina,1
balkan,undirected,tyskland,1
balkan,undirected,danmark,3
balkan,undirected,cambodja,1
afghanistan,undirected,balkan,1
balkan,undirected,sver,1
balkan,undirected,sovj,1
denne verd,undirected,kina,2
denne verd,undirected,tyskland,1
danmark,undirected,denne verd,4
cambodja,undirected,denne verd,1
afghanistan,undirected,denne verd,1
denne verd,undirected,sver,1
denne verd,undirected,sovj,1
kina,undirected,tyskland,2
danmark,undirected,kina,35
cambodja,undirected,kina,1
afghanistan,undirected,kina,2
kina,undirected,sver,2
kina,undirected,sovj,4
danmark,undirected,tyskland,51
cambodja,undirected,tyskland,1
afghanistan,undirected,tyskland,4
sver,undirected,tyskland,8
sovj,undirected,tyskland,4
cambodja,undirected,danmark,4
afghanistan,undirected,danmark,20
danmark,undirected,sver,47
afghanistan,undirected,cambodja,1
cambodja,undirected,sver,3
cambodja,undirected,sovj,1
afghanistan,undirected,sver,5
afghanistan,undirected,sovj,1
sovj,undirected,sver,1
egypt,undirected,saudi arabi,2
egypt,undirected,gellerup,1
egypt,undirected,vest,2
egypt,undirected,mellemøst,10
egypt,undirected,jerusalem,82
cairo,undirected,egypt,4
babylon,undirected,egypt,10
egypt,undirected,pakistan,4
egypt,undirected,kina,7
egypt,undirected,århus,6
danmark,undirected,egypt,51
canada,undirected,egypt,3
egypt,undirected,gellerup kirk,1
egypt,undirected,ledøjesmørum pastorat,1
egypt,undirected,vietnam,2
gellerup,undirected,saudi arabi,1
saudi arabi,undirected,vest,3
mellemøst,undirected,saudi arabi,2
jerusalem,undirected,saudi arabi,5
cairo,undirected,saudi arabi,1
babylon,undirected,saudi arabi,1
pakistan,undirected,saudi arabi,1
kina,undirected,saudi arabi,3
saudi arabi,undirected,århus,1
danmark,undirected,saudi arabi,9
canada,undirected,saudi arabi,1
gellerup kirk,undirected,saudi arabi,1
ledøjesmørum pastorat,undirected,saudi arabi,1
saudi arabi,undirected,vietnam,1
gellerup,undirected,vest,1
gellerup,undirected,mellemøst,1
gellerup,undirected,jerusalem,1
cairo,undirected,gellerup,1
babylon,undirected,gellerup,1
gellerup,undirected,pakistan,1
gellerup,undirected,kina,1
gellerup,undirected,århus,3
danmark,undirected,gellerup,3
canada,undirected,gellerup,1
