Source,Type,Target,Weight
mellemøsten,undirected,vietnam,1
babylon,undirected,vietnam,1
vesten,undirected,vietnam,1
ledøjesmørum pastorat,undirected,vietnam,1
gellerup kirke,undirected,vietnam,1
ppladsen,undirected,vietnam,1
jerusalem,undirected,vietnam,2
saudi arabien,undirected,vietnam,1
vietnam,undirected,århus,1
cairo,undirected,vietnam,1
canada,undirected,mellemøsten,2
babylon,undirected,canada,1
canada,undirected,vesten,1
canada,undirected,ledøjesmørum pastorat,1
canada,undirected,gellerup kirke,1
canada,undirected,ppladsen,1
canada,undirected,jerusalem,3
canada,undirected,saudi arabien,1
canada,undirected,århus,1
cairo,undirected,canada,1
babylon,undirected,mellemøsten,4
mellemøsten,undirected,vesten,3
ledøjesmørum pastorat,undirected,mellemøsten,1
gellerup kirke,undirected,mellemøsten,1
mellemøsten,undirected,ppladsen,1
jerusalem,undirected,mellemøsten,43
mellemøsten,undirected,saudi arabien,2
mellemøsten,undirected,århus,4
cairo,undirected,mellemøsten,2
babylon,undirected,vesten,1
babylon,undirected,ledøjesmørum pastorat,1
babylon,undirected,gellerup kirke,1
babylon,undirected,ppladsen,1
babylon,undirected,saudi arabien,1
babylon,undirected,århus,3
babylon,undirected,cairo,1
ledøjesmørum pastorat,undirected,vesten,1
gellerup kirke,undirected,vesten,1
ppladsen,undirected,vesten,1
jerusalem,undirected,vesten,1
saudi arabien,undirected,vesten,1
vesten,undirected,århus,1
cairo,undirected,vesten,1
gellerup kirke,undirected,ledøjesmørum pastorat,1
ledøjesmørum pastorat,undirected,ppladsen,1
jerusalem,undirected,ledøjesmørum pastorat,1
ledøjesmørum pastorat,undirected,saudi arabien,1
ledøjesmørum pastorat,undirected,århus,1
cairo,undirected,ledøjesmørum pastorat,1
gellerup kirke,undirected,ppladsen,1
gellerup kirke,undirected,jerusalem,1
gellerup kirke,undirected,saudi arabien,1
gellerup kirke,undirected,århus,2
cairo,undirected,gellerup kirke,1
jerusalem,undirected,ppladsen,1
ppladsen,undirected,saudi arabien,1
ppladsen,undirected,århus,1
cairo,undirected,ppladsen,1
jerusalem,undirected,saudi arabien,4
jerusalem,undirected,århus,26
cairo,undirected,jerusalem,2
saudi arabien,undirected,århus,1
cairo,undirected,saudi arabien,1
cairo,undirected,århus,1
israel,undirected,zakæus,2
ganløse,undirected,israel,2
israel,undirected,japan,6
ganløse,undirected,zakæus,1
japan,undirected,zakæus,1
ganløse,undirected,japan,1
himmeriget,undirected,sydstaterne,1
cambodja,undirected,himlen,1
cambodja,undirected,nirvana,1
himlen,undirected,nirvana,1
afghanistan,undirected,new york,5
irak,undirected,new york,5
new york,undirected,world trade center,5
new york,undirected,twin towers,2
afghanistan,undirected,irak,16
afghanistan,undirected,world trade center,2
afghanistan,undirected,twin towers,1
irak,undirected,world trade center,2
irak,undirected,twin towers,1
twin towers,undirected,world trade center,1
galilæa,undirected,samaria,21
nain,undirected,venteværelset,1
kapernaum,undirected,leødjesmørum,1
jordans,undirected,kapernaum,1
jordan,undirected,kapernaum,2
jordan,undirected,jordans,2
konfirmandhusets,undirected,smørum kirke,1
tivoli,undirected,vridsløselille statsfængsel,1
odense,undirected,tivoli,2
kappadokien,undirected,tivoli,1
tivoli,undirected,vollsmose,1
tivoli,undirected,vridsløselille,1
tivoli,undirected,troen,1
odense,undirected,vridsløselille statsfængsel,1
kappadokien,undirected,vridsløselille statsfængsel,1
vollsmose,undirected,vridsløselille statsfængsel,1
vridsløselille,undirected,vridsløselille statsfængsel,2
troen,undirected,vridsløselille statsfængsel,1
kappadokien,undirected,odense,1
odense,undirected,vollsmose,4
odense,undirected,vridsløselille,1
odense,undirected,troen,2
kappadokien,undirected,vollsmose,1
kappadokien,undirected,vridsløselille,1
kappadokien,undirected,troen,1
vollsmose,undirected,vridsløselille,1
troen,undirected,vollsmose,1
troen,undirected,vridsløselille,1
jerusalem,undirected,oslo,6
jorden,undirected,universet,32
nazarets,undirected,universet,1
nazaret,undirected,universet,9
universet,undirected,vollsmose,2
